id,korean,vietnamese,english,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
1,강사,Giảng viên,Instructor,"강사는 학생들에게 수업을 합니다.","Giảng viên dạy học cho sinh viên.","The instructor teaches students.","저는 영어 강사입니다.","Tôi là giảng viên tiếng Anh.","I am an English instructor."
2,계획표,Kế hoạch học tập,Study plan,"계획표를 작성해야 해요.","Tôi phải lập kế hoạch học tập.","I need to make a study plan.","계획표를 따라 공부하세요.","Hãy học theo kế hoạch.","Study according to the plan."
3,명절,Ngày lễ,Lunar holiday,"명절에 가족과 함께 시간을 보냅니다.","Vào ngày lễ, tôi dành thời gian với gia đình.","I spend time with family during holidays.","한국의 대표적인 명절은 설날입니다.","Ngày lễ tiêu biểu của Hàn Quốc là Tết.","Korea's representative holiday is Seollal."
4,방학,Nghỉ hè,Vacation,"방학 동안 여행을 갈 거예요.","Tôi sẽ đi du lịch vào kỳ nghỉ hè.","I will travel during vacation.","방학이 길어서 좋아요.","Tôi thích vì kỳ nghỉ dài.","I like the long vacation."
5,졸업하다,Tốt nghiệp,Graduate,"내년에 졸업할 예정입니다.","Tôi dự định tốt nghiệp năm sau.","I plan to graduate next year.","대학교를 졸업했어요.","Tôi đã tốt nghiệp đại học.","I graduated from university."
6,회의하다,Họp,Have a meeting,"오늘 오후에 회의가 있습니다.","Chiều nay có cuộc họp.","There is a meeting this afternoon.","팀원들과 회의했어요.","Tôi đã họp với các thành viên nhóm.","I had a meeting with team members."
7,휴가,Nghỉ phép,Vacation/Leave,"휴가를 신청했어요.","Tôi đã xin nghỉ phép.","I applied for leave.","휴가 동안 쉬고 싶어요.","Tôi muốn nghỉ ngơi trong kỳ nghỉ phép.","I want to rest during my vacation."
8,받다,Nhận,Receive,"선물을 받았어요.","Tôi đã nhận được quà.","I received a gift.","편지를 받았습니다.","Tôi đã nhận được thư.","I received a letter."
9,일기,Nhật ký,Diary,"일기를 매일 씁니다.","Tôi viết nhật ký mỗi ngày.","I write a diary every day.","어제 일기에 행복한 일을 썼어요.","Tôi đã viết về điều hạnh phúc trong nhật ký hôm qua.","I wrote about a happy thing in my diary yesterday."
10,출근,Đi làm,Go to work,"아침에 출근합니다.","Tôi đi làm vào buổi sáng.","I go to work in the morning.","출근 시간이 9시입니다.","Giờ đi làm là 9 giờ.","Work starts at 9 o'clock."
11,퇴근,Tan làm,Leave work,"퇴근 후에 운동해요.","Tôi tập thể dục sau khi tan làm.","I exercise after work.","퇴근 시간이 늦었어요.","Tôi tan làm muộn.","I left work late."
12,목욕하다,Tắm,Bathe,"저녁에 목욕해요.","Tôi tắm vào buổi tối.","I bathe in the evening.","아이가 목욕을 좋아해요.","Trẻ con thích tắm.","The child likes to bathe."
13,후,Sau,After,"식사 후에 산책해요.","Tôi đi dạo sau bữa ăn.","I take a walk after a meal.","퇴근 후에 친구를 만나요.","Tôi gặp bạn sau khi tan làm.","I meet my friend after work."
14,외식하다,Ăn ngoài,Go out to eat,"가족과 외식했어요.","Tôi đã ăn ngoài với gia đình.","I ate out with my family.","주말에 외식할 거예요.","Cuối tuần tôi sẽ ăn ngoài.","I will eat out on the weekend."
15,공포하다,Công bố,Announce,"결과를 공포했습니다.","Đã công bố kết quả.","The results were announced.","정부가 정책을 공포했어요.","Chính phủ đã công bố chính sách.","The government announced the policy."
16,낚시,Câu cá,Fishing,"아버지와 낚시를 갔어요.","Tôi đi câu cá với bố.","I went fishing with my father.","호수에서 낚시해요.","Tôi câu cá ở hồ.","I fish at the lake."
17,빨래하다,Giặt đồ,Do laundry,"빨래를 해야 해요.","Tôi phải giặt đồ.","I need to do laundry.","주말에 빨래했어요.","Tôi đã giặt đồ vào cuối tuần.","I did laundry on the weekend."
18,계산하다,Tính toán,Calculate,"계산을 잘해야 해요.","Phải tính toán cẩn thận.","You need to calculate carefully.","계산기를 사용해요.","Tôi dùng máy tính.","I use a calculator."
19,마리,Con (động vật),Animal (counter),"고양이 한 마리가 있어요.","Có một con mèo.","There is one cat.","강아지 두 마리를 키워요.","Tôi nuôi hai con chó.","I raise two dogs."
20,잔,Cốc,Glass/Cup (counter),"커피 한 잔 주세요.","Cho tôi một cốc cà phê.","Please give me a cup of coffee.","물 두 잔을 마셨어요.","Tôi đã uống hai cốc nước.","I drank two glasses of water."
21,대,Chiếc (xe; máy),Unit (car; machine),"자동차 한 대가 있습니다.","Có một chiếc ô tô.","There is one car.","컴퓨터 두 대를 샀어요.","Tôi đã mua hai máy tính.","I bought two computers."
22,병,Chai,Bottle (counter),"맥주 한 병을 샀어요.","Tôi đã mua một chai bia.","I bought a bottle of beer.","물 세 병이 필요해요.","Tôi cần ba chai nước.","I need three bottles of water."
23,켤레,Đôi (giày; tất),Pair (shoes; socks),"신발 한 켤레를 샀어요.","Tôi đã mua một đôi giày.","I bought a pair of shoes.","양말 두 켤레가 있어요.","Tôi có hai đôi tất.","I have two pairs of socks."
24,권,Quyển (sách),Book (counter),"책 한 권을 읽었어요.","Tôi đã đọc một quyển sách.","I read a book.","노트 두 권을 샀어요.","Tôi đã mua hai quyển vở.","I bought two notebooks."
25,장,Tờ (giấy),Sheet (counter),"종이 한 장 주세요.","Cho tôi một tờ giấy.","Please give me a sheet of paper.","사진 두 장을 받았어요.","Tôi đã nhận hai tấm ảnh.","I received two photos."
26,과자,Bánh quy,Snack,"과자를 먹고 싶어요.","Tôi muốn ăn bánh quy.","I want to eat snacks.","과자를 샀어요.","Tôi đã mua bánh quy.","I bought snacks."
27,디자인,Thiết kế,Design,"이 옷의 디자인이 예뻐요.","Thiết kế của chiếc áo này đẹp.","The design of this dress is pretty.","새로운 디자인을 만들었어요.","Tôi đã tạo ra thiết kế mới.","I made a new design."
28,문구정,Cửa hàng văn phòng phẩm,Stationery store,"문구정에서 펜을 샀어요.","Tôi đã mua bút ở cửa hàng văn phòng phẩm.","I bought a pen at the stationery store.","문구정에 자주 가요.","Tôi thường đến cửa hàng văn phòng phẩm.","I often go to the stationery store."
29,세일,Giảm giá,Sale,"가게에서 세일을 해요.","Cửa hàng đang giảm giá.","The store is having a sale.","세일 기간에 옷을 샀어요.","Tôi đã mua quần áo trong thời gian giảm giá.","I bought clothes during the sale."
30,소설책,Tiểu thuyết,Novel,"소설책을 읽고 있어요.","Tôi đang đọc tiểu thuyết.","I am reading a novel.","새 소설책을 샀어요.","Tôi đã mua một cuốn tiểu thuyết mới.","I bought a new novel."
31,전자상가,Trung tâm điện máy,Electronics market,"전자상가에서 노트북을 샀어요.","Tôi đã mua laptop ở trung tâm điện máy.","I bought a laptop at the electronics market.","전자상가에 가고 싶어요.","Tôi muốn đến trung tâm điện máy.","I want to go to the electronics market."
32,종업원,Nhân viên,Employee,"종업원이 친절해요.","Nhân viên rất thân thiện.","The employee is kind.","종업원에게 물어보세요.","Hãy hỏi nhân viên.","Ask the employee."
